
4	30154.00
4.015	30184.00
4.03	30258.00
4.045	30651.00
4.06	30250.00
4.075	30336.00
4.09	30245.00
4.105	30226.00
4.12	30375.00
4.135	30222.00
4.15	30310.00
4.165	30992.00
4.18	30875.00
4.195	30797.00
4.21	30538.00
4.225	30216.00
4.24	30486.00
4.255	30680.00
4.27	30944.00
4.285	30995.00
4.3	30824.00
4.315	31092.00
4.33	30697.00
4.345	30846.00
4.36	30430.00
4.375	30344.00
4.39	30344.00
4.405	30505.00
4.42	30636.00
4.435	30485.00
4.45	30634.00
4.465	30724.00
4.48	30906.00
4.495	30586.00
4.51	30517.00
4.525	30086.00
4.54	30634.00
4.555	30459.00
4.57	30530.00
4.585	30021.00
4.6	30182.00
4.615	30276.00
4.63	30383.00
4.645	30389.00
4.66	30531.00
4.675	30879.00
4.69	30579.00
4.705	30065.00
4.72	30401.00
4.735	30354.00
4.75	30525.00
4.765	30406.00
4.78	30407.00
4.795	30641.00
4.81	30248.00
4.825	30375.00
4.84	30309.00
4.855	30323.00
4.87	30515.00
4.885	30704.00
4.9	30185.00
4.915	30150.00
4.93	30242.00
4.945	30709.00
4.96	30377.00
4.975	30512.00
4.99	30343.00
5.005	30412.00
5.02	30432.00
5.035	30179.00
5.05	30357.00
5.065	30439.00
5.08	30541.00
5.095	30472.00
5.11	30317.00
5.125	30381.00
5.14	30279.00
5.155	30164.00
5.17	30299.00
5.185	30259.00
5.2	30073.00
5.215	29948.00
5.23	30180.00
5.245	30124.00
5.26	29937.00
5.275	30177.00
5.29	30151.00
5.305	29988.00
5.32	30116.00
5.335	30216.00
5.35	30157.00
5.365	30007.00
5.38	30067.00
5.395	30103.00
5.41	29897.00
5.425	29802.00
5.44	29650.00
5.455	29764.00
5.47	30166.00
5.485	30107.00
5.5	29987.00
5.515	30001.00
5.53	29839.00
5.545	29900.00
5.56	29938.00
5.575	29803.00
5.59	29640.00
5.605	29519.00
5.62	29810.00
5.635	29905.00
5.65	30216.00
5.665	29843.00
5.68	29817.00
5.695	29765.00
5.71	30082.00
5.725	30044.00
5.74	29972.00
5.755	29865.00
5.77	29795.00
5.785	29845.00
5.8	29693.00
5.815	29357.00
5.83	29651.00
5.845	29738.00
5.86	29608.00
5.875	29736.00
5.89	29848.00
5.905	29799.00
5.92	29666.00
5.935	29826.00
5.95	29923.00
5.965	29892.00
5.98	30178.00
5.995	29839.00
6.01	29794.00
6.025	29480.00
6.04	29775.00
6.055	29845.00
6.07	30189.00
